GEOID,NAME,median_ageE,median_ageM,edu_totalE,edu_totalM,bachelorsE,bachelorsM,mastersE,mastersM,professionalE,professionalM,doctorateE,doctorateM,bachelors_plus,bachelors_plus_moe,bachelors_plus_rate,bachelors_plus_rate_moe
48499,"Wood County, Texas",48.5,0.6,34578,198,4697,580,1943,426,554,260,254,173,7448,784.477533139095,0.21539707328359073,0.022653634263048613
48041,"Brazos County, Texas",26.8,0.2,129071,91,30780,1372,14604,836,2483,511,7645,745,55512,1843.2107855587217,0.4300888658180381,0.014277376146122782
48459,"Upshur County, Texas",40.6,0.7,29223,154,3823,436,1281,403,194,101,24,27,5322,602.8557041282764,0.18211682578790678,0.020607157868887498
48343,"Morris County, Texas",42.1,1.3,8173,107,889,211,281,113,27,34,107,85,1304,256.26353622784495,0.1595497369387006,0.03128523879591629
48393,"Roberts County, Texas",40,4.2,551,85,96,35,11,10,0,15,6,8,113,40.17461885320133,0.20508166969147004,0.0656908930553601
48289,"Leon County, Texas",44.6,0.9,11541,144,1402,325,623,234,21,30,95,63,2141,406.5095324835569,0.185512520578806,0.035146939872005685
48349,"Navarro County, Texas",36.7,0.5,34818,37,4337,546,1463,280,265,118,282,136,6347,639.4810395938257,0.1822907691423976,0.018365370478476112
48185,"Grimes County, Texas",40.1,0.6,21682,284,2917,550,1027,261,267,125,63,43,4274,622.9727120829612,0.1971220367124804,0.028616004410666824
48467,"Van Zandt County, Texas",42,0.4,43691,184,5543,663,2657,416,260,132,169,99,8629,799.9062445061921,0.19750062942024674,0.01828935808025828
48125,"Dickens County, Texas",47.6,5.2,1261,124,163,40,44,23,14,14,6,9,227,49.05099387372289,0.18001586042823156,0.03463724532746891
48105,"Crockett County, Texas",42.6,7.7,2070,193,121,113,76,77,24,41,0,15,221,143.54093492798492,0.1067632850241546,0.0686252604056328
48415,"Scurry County, Texas",36.9,1.6,10993,242,1154,282,246,107,26,34,3,10,1429,303.6922784662132,0.1299918129718912,0.027477357599624046
48379,"Rains County, Texas",46.4,0.7,9560,67,1577,275,386,148,25,22,8,12,1996,313.3001755505413,0.2087866108786611,0.032739301809940856
48261,"Kenedy County, Texas",54.8,36,123,75,5,7,10,10,0,15,1,2,16,19.44222209522358,0.13008130081300814,0.1367252865341264
