date,hits,keyword,geo,time,gprop,category
2024-07-07T00:00:00Z,1,Harris,US,today+5-y,web,0
2024-07-14T00:00:00Z,1,Harris,US,today+5-y,web,0
2024-07-21T00:00:00Z,9,Harris,US,today+5-y,web,0
2024-07-28T00:00:00Z,4,Harris,US,today+5-y,web,0
2024-08-04T00:00:00Z,4,Harris,US,today+5-y,web,0
2024-08-11T00:00:00Z,3,Harris,US,today+5-y,web,0
2024-08-18T00:00:00Z,4,Harris,US,today+5-y,web,0
2024-08-25T00:00:00Z,3,Harris,US,today+5-y,web,0
2024-09-01T00:00:00Z,2,Harris,US,today+5-y,web,0
2024-09-08T00:00:00Z,4,Harris,US,today+5-y,web,0
2024-09-15T00:00:00Z,2,Harris,US,today+5-y,web,0
2024-09-22T00:00:00Z,2,Harris,US,today+5-y,web,0
